"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2004","4042","","","AMST","AMST","A202","0332","","ELMWOOD V","24","39","3.09","2.89","0","33.3","50.0","16.7","0.0","15","0","0","8","5","3","4","2","1","1","0","0","0","0","7","7","0","0","1","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANAT","ANAT","A215","7547","","DOUGHERTY G","337","386","2.74","3.12","0","30.6","31.2","24.6","8.3","67","16","55","32","44","41","20","32","35","16","11","11","6","18","42","7","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANAT","ANAT","A464","7559","","MESCHER A","94","101","2.86","3.32","0","26.6","42.6","27.7","3.2","7","1","16","8","9","17","14","6","10","10","0","0","3","0","2","2","0","0","3","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANAT","ANAT","A800","7568","","MESCHER A","9","10","3.89","3.40","0","88.9","11.1","0.0","0.0","1","3","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANAT","ANAT","A850","7569","","FOLEY J","7","7","4.00","3.39","0","100.0","0.0","0.0","0.0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","A105","0347","","PICKERING T","111","154","2.34","2.87","1","20.7","31.5","27.9","11.7","52","8","7","8","0","19","16","1","16","14","1","8","4","9","27","14","0","0","2","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","A105","0358","","KUNS E","27","45","3.45","2.89","0","74.1","18.5","0.0","0.0","20","4","11","5","1","2","2","0","0","0","0","0","0","2","10","8","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","A408","0373","","CONRAD G","20","22","3.99","3.32","41","100.0","0.0","0.0","0.0","2","3","16","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","A495","0374","","SEPT J","18","22","3.91","3.59","59","88.9","11.1","0.0","0.0","4","0","16","0","1","1","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","ANTH","ANTH","A800","0376","","SEPT J","8","52","4.00","3.84","100","100.0","0.0","0.0","0.0","44","0","8","0","0","0","0","0","0","0","0","0","0","0","0","2","0","42","0","0","0","0","0","0","06-10-2004",
